,drink,tags,IBA
0,Adam,"Alcoholic,Holiday",
1,Aviation,"IBA,Classic",Unforgettables
2,Alexander,"IBA,Classic,Dairy",Unforgettables
3,B-52,"IBA,NewEra",New Era Drinks
4,Bellini,"ContemporaryClassic,IBA",Contemporary Classics
5,Bramble,"IBA,NewEra",New Era Drinks
6,Brooklyn,"Alcoholic,Sweet,DateNight,USA",
7,Barracuda,"IBA,NewEra",New Era Drinks
8,Casino,IBA,Unforgettables
9,Caipirinha,"ContemporaryClassic,IBA",Contemporary Classics
10,Cuba Libre,"IBA,ContemporaryClassic",Contemporary Classics
11,Clover Club,"IBA,Classic",Unforgettables
12,Cosmopolitan,"IBA,ContemporaryClassic",Contemporary Classics
13,Derby,"Classic,IBA",Unforgettables
14,Daiquiri,"IBA,Classic,Beach",
15,Dry Martini,"IBA,Classic,Christmas,Alcoholic",Unforgettables
16,Dirty Martini,"IBA,NewEra",New Era Drinks
17,Dark and Stormy,"IBA,NewEra",New Era Drinks
18,Death in the Afternoon,Drunk,
19,Espresso Martini,"IBA,NewEra",New Era Drinks
20,Espresso Rumtini,"DinnerParty,StrongFlavor",
21,Elderflower Caipirinha,Brazilian,
22,Frosé,"Cold, Frozen, Summer",
23,French 75,"IBA,ContemporaryClassic",Contemporary Classics
24,Figgy Thyme,"Christmas,Sweet",
25,French Martini,"NewEra,IBA",New Era Drinks
26,French Connection,"IBA,ContemporaryClassic",Contemporary Classics
27,Gin Fizz,"IBA,Classic",Unforgettables
28,Gin Sour,Sour,
29,Godmother,"IBA,ContemporaryClassic",
30,Godfather,"IBA,ContemporaryClassic",Contemporary Classics
31,Gin Smash,"Citrus,StrongFlavor",
32,Grasshopper,"IBA,ContemporaryClassic,Halloween",Contemporary Classics
33,Gin and Soda,"Clear,Alcoholic",
34,Honey Bee,Sweet,
35,Hot Toddy,Winter,
36,Horse's Neck,"IBA,ContemporaryClassic",Contemporary Classics
37,Halloween Punch,Halloween,
38,Harvey Wallbanger,"IBA,ContemporaryClassic",Contemporary Classics
39,Hemingway Special,"IBA,ContemporaryClassic",Contemporary Classics
40,Irish Coffee,"IBA,ContemporaryClassic",Contemporary Classics
41,John Collins,IBA,
42,Jack Rose Cocktail,Beach,
43,Kir,"IBA,ContemporaryClassic",
44,Kamikaze,"IBA,NewEra",New Era Drinks
45,Kiwi Martini,"Green, Sharp",
46,Lemon Drop,"IBA,NewEra",
47,Long Island Tea,"Strong,Asia,StrongFlavor,Brunch,Vegetarian,Sour",
48,Lazy Coconut Paloma,"Lazy, Sharp",
49,Long Island Iced Tea,"IBA,ContemporaryClassic",Contemporary Classics
50,Lemon Elderflower Spritzer,"Summer, Fresh, Refreshing",
51,Mojito,"IBA,ContemporaryClassic,Alcoholic,USA,Asia,Vegan,Citrus,Brunch,Hangover,Mild",Contemporary Classics
52,Mimosa,"IBA,ContemporaryClassic",Contemporary Classics
53,Mai Tai,"IBA,ContemporaryClassic",Contemporary Classics
54,Martini,,Unforgettables
55,Michelada,"Hangover,StrongFlavor,Breakfast",
56,Manhattan,"IBA,Classic,Alcoholic",Unforgettables
57,Margarita,"IBA,ContemporaryClassic",Contemporary Classics
58,Mint Julep,"IBA,ContemporaryClassic",
59,Miami Vice,IBA,
60,Moscow Mule,"IBA,ContemporaryClassic",Contemporary Classics
61,Mulled Wine,Christmas,
62,Munich Mule,German,
63,Mango Mojito,Fruity,
64,Monkey Gland,"IBA,Classic",Unforgettables
65,Mary Pickford,"IBA,Classic",Unforgettables
66,Negroni,"IBA,Classic",Unforgettables
67,Old Fashioned,"IBA,Classic,Alcoholic,Expensive,Savory",Unforgettables
68,Orange Rosemary Collins,Citrus,
69,Paradise,IBA,Unforgettables
70,Pink Moon,"Fresh, Summer, Colourful, Nature",
71,Pisco Sour,"IBA,NewEra",New Era Drinks
72,Porto flip,"IBA,Classic",Unforgettables
73,Pina Colada,"IBA,ContemporaryClassic",Contemporary Classics
74,Pure Passion,Passion,
75,Planter's Punch,"IBA,Classic",Unforgettables
76,Pornstar Martini,"Adult, Shot, Bubbly",
77,Rose,"IBA,ContemporaryClassic",Contemporary Classics
78,Rusty Nail,"IBA,Classic",Unforgettables
79,Russian Spring Punch,"IBA,NewEra",New Era Drinks
80,Spritz,,New Era Drinks
81,Stinger,"IBA,Classic",Unforgettables
82,Sazerac,"IBA,Classic",Unforgettables
83,Sidecar,"IBA,Classic",Unforgettables
84,Snowday,Winter,
85,Spice 75,Christmas,
86,Snowball,Christmas,
87,Sea breeze,"IBA,ContemporaryClassic",Contemporary Classics
88,Screwdriver,IBA,Unforgettables
89,The Galah,Dark,
90,Tequila Slammer,Drunk,
91,Tequila Sunrise,"IBA,ContemporaryClassic",Contemporary Classics
92,Tuxedo Cocktail,"IBA,Classic",Unforgettables
93,Vesper,"IBA,NewEra",New Era Drinks
94,Vampiro,"IBA,NewEra",New Era Drinks
95,White Lady,"IBA,Classic",Unforgettables
96,Winter Rita,Winter,
97,Whiskey Sour,"IBA,Classic,Alcoholic,ContemporaryClassic",Unforgettables
98,Winter Paloma,Winter,
99,White Wine Sangria,Spanish,
100,Yellow Bird,"IBA,NewEra",New Era Drinks
